t,o,h,l,c,v,n,vw
2023-01-04T22:00:00Z,126.18,127.74,126.11,127.54,338478,3034,127.113711
2023-01-04T23:00:00Z,127.52,127.52,126.36,127,160518,1933,127.092238
2023-01-05T00:00:00Z,127.01,127.08,126.61,126.65,90243,1366,126.831205
2023-01-05T09:00:00Z,127,127,125.95,126.4,142428,1637,126.281125
2023-01-05T10:00:00Z,126.4,126.9,125.79,125.92,114561,1587,126.312147
2023-01-05T11:00:00Z,125.96,127.09,125.96,126.99,115484,1515,126.560744
2023-01-05T12:00:00Z,126.93,127.88,126.87,127.6,234127,4140,127.43456
2023-01-05T13:00:00Z,127.05,127.87,126.25,126.92,794836,10758,127.169761
2023-01-05T14:00:00Z,126.9115,127.4891,125.32,127.38,12829181,131328,126.302146
2023-01-05T15:00:00Z,127.3699,127.74,126.16,126.42,13422726,108808,126.882299
2023-01-05T16:00:00Z,126.42,127.08,126.15,126.68,8634913,71416,126.655418
2023-01-05T17:00:00Z,126.68,126.955,126.18,126.2474,5283324,52401,126.507179
2023-01-05T18:00:00Z,126.245,127.04,125.8001,126.27,8188121,69513,126.439049
2023-01-05T19:00:00Z,126.28,126.47,125.475,125.48,7404298,71582,126.003974
2023-01-05T20:00:00Z,125.485,125.53,124.76,125.03,14946852,129803,125.128037
2023-01-05T21:00:00Z,125.02,125.34,124.99,125.16,8908812,4111,125.023942
2023-01-05T22:00:00Z,125.15,125.15,125.05,125.1,75097,1366,125.109015
2023-01-05T23:00:00Z,125.13,125.23,124.8,125.17,88894,1627,125.044447
2023-01-06T00:00:00Z,125.17,125.25,125.12,125.25,46537,939,125.185773
